customer_reference,merchant_reference,locale_name,phone,email,salutation,first_name,last_name,company,gender,date_of_birth,password,registered
BER--1,Berlin_83_10115,de_DE,,spencor.hopkin@spryker.com,Mr,Spencor,Hopkin,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--2,Berlin_84_10557,de_DE,,maria.williams@spryker.com,Ms,Maria,Williams,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--3,Berlin_85_10117,de_DE,,maggie.may@spryker.com,Ms,Maggie,May,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--4,Berlin_86_10789,de_DE,,bill.martin@spryker.com,Mr,Bill,Martin,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--5,Berlin_87_13357,de_DE,,george.freeman@spryker.com,Mr,George,Freeman,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--6,Berlin_88_10117,de_DE,,henry.tudor@spryker.com,Mr,Henry,Tudor,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--7,Berlin_83_10115,de_DE,,anne.boleyn@spryker.com,Ms,Anne,Boleyn,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--8,Berlin_83_10115,de_DE,495-123-45-67,andrew@ottom.de,Mr,Andrew,Wedner,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--9,Berlin_83_10115,de_DE,495-123-45-68,Ahill@ottom.de,Mr,Ahill,Grant,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--10,Berlin_83_10115,de_DE,495-123-45-69,Alexa@ottom.de,Ms,Alexa,Simons,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--11,Berlin_83_10115,de_DE,495-123-45-70,Frida@ottom.de,Ms,Frida,Grott,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--12,Berlin_83_10115,de_DE,495-123-45-71,Lisa@ottom.de,Ms,Lisa,Pauls,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--13,Berlin_83_10115,de_DE,495-123-45-72,Kim@ottom.de,Mr,Kim,Gyeong-min,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--14,Berlin_83_10115,de_DE,425-222-45-73,Solomon@spryker.com,Mr,Solomon,Wesner,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--15,Berlin_83_10115,de_DE,425-222-45-74,Richi@spryker.com,Mr,Armando,Richi,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--16,Berlin_83_10115,de_DE,425-222-45-75,karl@spryker.com,Mr,Karl,Schmid,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--17,Berlin_83_10115,de_DE,425-222-45-76,Sarah@spryker.com,Ms,Sarah,Muller,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--18,Berlin_83_10115,de_DE,425-222-45-77,Elizabet@spryker.com,Ms,Elizabet,Keller,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--19,Berlin_83_10115,de_DE,425-222-45-78,donald@spryker.com,Mr,Donald,Huber,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--20,Berlin_83_10115,de_DE,425-222-45-79,Trever.m@spryker.com,Mr,Trever,Meier,,Male,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
BER--21,Berlin_83_10115,de_DE,425-222-45-80,sonia@spryker.com,Ms,Sonia,Wagner,,Female,,$2y$10$BfK63PmaH/mYpHNfVjCIIuDwnMM.q2ZyjzUAjZTXPmAEiXPoqsXdy,
